name,terminology,code,term,code_type,RecordDate
asthma,SNOMED,1064811000000103,moderate acute exacerbation of asthma (disorder),1.0,20220215.0
asthma,SNOMED,1064821000000109,life threatening acute exacerbation of asthma (disorder),1.0,20220215.0
asthma,SNOMED,10674711000119105,acute severe exacerbation of asthma co-occurrent with allergic rhinitis (disorder),1.0,20220215.0
asthma,SNOMED,10675391000119101,severe controlled persistent asthma (disorder),1.0,20220215.0
asthma,SNOMED,10675431000119106,severe persistent allergic asthma (disorder),1.0,20220215.0
asthma,SNOMED,10675471000119109,acute severe exacerbation of severe persistent allergic asthma (disorder),1.0,20220215.0
asthma,SNOMED,10675551000119104,acute severe exacerbation of severe persistent asthma co-occurrent with allergic rhinitis (disorder),1.0,20220215.0
asthma,SNOMED,10675591000119109,severe persistent allergic asthma controlled (finding),1.0,20220215.0
asthma,SNOMED,10675631000119109,severe persistent asthma controlled co-occurrent with allergic rhinitis (disorder),1.0,20220215.0
asthma,SNOMED,10675671000119107,severe persistent allergic asthma uncontrolled (finding),1.0,20220215.0
asthma,SNOMED,10675711000119106,severe persistent asthma uncontrolled co-occurrent with allergic rhinitis (disorder),1.0,20220215.0
asthma,SNOMED,10675751000119107,severe uncontrolled persistent asthma (disorder),1.0,20220215.0
asthma,SNOMED,10675871000119106,mild persistent allergic asthma (disorder),1.0,20220215.0
asthma,SNOMED,10675911000119109,acute severe exacerbation of mild persistent allergic asthma (disorder),1.0,20220215.0
asthma,SNOMED,10675991000119100,acute severe exacerbation of mild persistent allergic asthma co-occurrent with allergic rhinitis (disorder),1.0,20220215.0
asthma,SNOMED,10676031000119106,mild persistent allergic asthma controlled (finding),1.0,20220215.0
asthma,SNOMED,10676071000119109,mild persistent asthma controlled (finding),1.0,20220215.0
asthma,SNOMED,10676111000119102,mild persistent asthma controlled co-occurrent with allergic rhinitis (disorder),1.0,20220215.0
asthma,SNOMED,10676151000119101,mild persistent allergic asthma uncontrolled (finding),1.0,20220215.0
asthma,SNOMED,10676191000119106,mild persistent asthma uncontrolled (finding),1.0,20220215.0
asthma,SNOMED,10676231000119102,mild persistent asthma uncontrolled co-occurrent with allergic rhinitis (disorder),1.0,20220215.0
asthma,SNOMED,10676351000119103,moderate persistent asthma controlled (finding),1.0,20220215.0
asthma,SNOMED,10676391000119108,moderate persistent allergic asthma (disorder),1.0,20220215.0
asthma,SNOMED,10676431000119103,acute severe exacerbation of moderate persistent allergic asthma (disorder),1.0,20220215.0
asthma,SNOMED,10676511000119109,acute severe exacerbation of moderate persistent asthma co-occurrent with allergic rhinitis (disorder),1.0,20220215.0
asthma,SNOMED,10676551000119105,moderate persistent allergic asthma controlled (finding),1.0,20220215.0
asthma,SNOMED,10676591000119100,moderate persistent controlled asthma co-occurrent with allergic rhinitis (disorder),1.0,20220215.0
asthma,SNOMED,10676631000119100,moderate persistent allergic asthma uncontrolled (finding),1.0,20220215.0
asthma,SNOMED,10676671000119102,moderate persistent asthma uncontrolled co-occurrent with allergic rhinitis (disorder),1.0,20220215.0
asthma,SNOMED,10676711000119103,moderate persistent asthma uncontrolled (finding),1.0,20220215.0
asthma,SNOMED,10692721000119102,chronic obstructive asthma co-occurrent with acute exacerbation of asthma (disorder),1.0,20220215.0
asthma,SNOMED,1086701000000102,life threatening acute exacerbation of allergic asthma (disorder),1.0,20220215.0
asthma,SNOMED,1086711000000100,life threatening acute exacerbation of intrinsic asthma (disorder),1.0,20220215.0
asthma,SNOMED,1103911000000103,severe asthma with fungal sensitisation (disorder),1.0,20220215.0
asthma,SNOMED,11641008,millers' asthma (disorder),1.0,20220215.0
asthma,SNOMED,12428000,intrinsic asthma without status asthmaticus (disorder),1.0,20220215.0
asthma,SNOMED,124991000119109,severe persistent asthma co-occurrent with allergic rhinitis (disorder),1.0,20220215.0
asthma,SNOMED,125001000119103,moderate persistent asthma co-occurrent with allergic rhinitis (disorder),1.0,20220215.0
asthma,SNOMED,125011000119100,mild persistent asthma co-occurrent with allergic rhinitis (disorder),1.0,20220215.0
asthma,SNOMED,125021000119107,intermittent asthma co-occurrent with allergic rhinitis (disorder),1.0,20220215.0
asthma,SNOMED,135171000119106,acute exacerbation of moderate persistent asthma (disorder),1.0,20220215.0
asthma,SNOMED,135181000119109,acute exacerbation of mild persistent asthma (disorder),1.0,20220215.0
asthma,SNOMED,16584951000119101,oral steroid-dependent asthma (disorder),1.0,20220215.0
asthma,SNOMED,1741000119102,intermittent asthma uncontrolled (disorder),1.0,20220215.0
asthma,SNOMED,1751000119100,acute exacerbation of chronic obstructive airways disease with asthma (disorder),1.0,20220215.0
asthma,SNOMED,18041002,printers' asthma (disorder),1.0,20220215.0
asthma,SNOMED,195967001,asthma (disorder),1.0,20220215.0
asthma,SNOMED,195977004,mixed asthma (disorder),1.0,20220215.0
asthma,SNOMED,225057002,brittle asthma (disorder),1.0,20220215.0
asthma,SNOMED,233679003,late onset asthma (disorder),1.0,20220215.0
asthma,SNOMED,233683003,hay fever with asthma (disorder),1.0,20220215.0
asthma,SNOMED,233688007,sulfite-induced asthma (disorder),1.0,20220215.0
asthma,SNOMED,233691007,asthmatic pulmonary eosinophilia (disorder),1.0,20220215.0
asthma,SNOMED,2360001000004109,steroid dependent asthma (disorder),1.0,20220215.0
asthma,SNOMED,266361008,non-allergic asthma (disorder),1.0,20220215.0
asthma,SNOMED,281239006,exacerbation of asthma (disorder),1.0,20220215.0
asthma,SNOMED,30352005,allergic-infective asthma (disorder),1.0,20220215.0
asthma,SNOMED,304527002,acute asthma (disorder),1.0,20220215.0
asthma,SNOMED,312453004,asthma - currently active (finding),1.0,20220215.0
asthma,SNOMED,31387002,exercise-induced asthma (disorder),1.0,20220215.0
asthma,SNOMED,34015007,bakers' asthma (disorder),1.0,20220215.0
asthma,SNOMED,370218001,mild asthma (disorder),1.0,20220215.0
