name,terminology,code,term
rheumatoid arthritis,ICD10,J990,Rheumatoid lung disease M05.1
rheumatoid arthritis,ICD10,M05,Seropositive rheumatoid arthritis
rheumatoid arthritis,ICD10,M050,Felty syndrome
rheumatoid arthritis,ICD10,M051,Rheumatoid lung disease J99.0
rheumatoid arthritis,ICD10,M052,Rheumatoid vasculitis
rheumatoid arthritis,ICD10,M053,Rheumatoid arthritis with involvement of other organs and systems
rheumatoid arthritis,ICD10,M058,Other seropositive rheumatoid arthritis
rheumatoid arthritis,ICD10,M059,"Seropositive rheumatoid arthritis, unspecified"
rheumatoid arthritis,ICD10,M060,Seronegative rheumatoid arthritis
rheumatoid arthritis,ICD10,M062,Rheumatoid bursitis
rheumatoid arthritis,ICD10,M063,Rheumatoid nodule
rheumatoid arthritis,ICD10,M068,Other specified rheumatoid arthritis
rheumatoid arthritis,ICD10,M069,"Rheumatoid arthritis, unspecified"
rheumatoid arthritis,SNOMED CT,7607008,Pericarditis co-occurrent with extraarticular rheumatoid arthritis
rheumatoid arthritis,SNOMED CT,21430002,Dilated cardiomyopathy secondary to rheumatoid arthritis
rheumatoid arthritis,SNOMED CT,28880005,Rheumatoid carditis
rheumatoid arthritis,SNOMED CT,33719002,Subcutaneous rheumatoid nodule
rheumatoid arthritis,SNOMED CT,50782009,Rheumatoid nodule
rheumatoid arthritis,SNOMED CT,52661003,Extra-articular rheumatoid process
rheumatoid arthritis,SNOMED CT,54867000,Rheumatoid fibrosing alveolitis
rheumatoid arthritis,SNOMED CT,57160007,Felty's syndrome
rheumatoid arthritis,SNOMED CT,59165007,Rheumatoid scleritis
rheumatoid arthritis,SNOMED CT,69896004,Rheumatoid arthritis
rheumatoid arthritis,SNOMED CT,86219005,Uveitis-rheumatoid arthritis syndrome
rheumatoid arthritis,SNOMED CT,111218008,Rheumatoid arthritis with other visceral or systemic involvement
rheumatoid arthritis,SNOMED CT,111280008,Rheumatoid pneumoconiosis
rheumatoid arthritis,SNOMED CT,155621007,Rheumatoid lung
rheumatoid arthritis,SNOMED CT,156471009,Rheumatoid arthritis
rheumatoid arthritis,SNOMED CT,156472002,Rheumatoid arthritis - multiple joint
rheumatoid arthritis,SNOMED CT,156473007,Rheumatoid arthritis of shoulder
rheumatoid arthritis,SNOMED CT,156474001,Rheumatoid arthritis of elbow
rheumatoid arthritis,SNOMED CT,156475000,Rheumatoid arthritis of wrist
rheumatoid arthritis,SNOMED CT,156476004,Rheumatoid arthritis - hand joint
rheumatoid arthritis,SNOMED CT,156477008,Rheumatoid arthritis of hip
rheumatoid arthritis,SNOMED CT,156478003,Rheumatoid arthritis of knee
rheumatoid arthritis,SNOMED CT,156479006,Rheumatoid arthritis - ankle/foot
rheumatoid arthritis,SNOMED CT,156480009,Rheumatoid arthritis - other joint
rheumatoid arthritis,SNOMED CT,156481008,Rheumatoid arthritis NOS
rheumatoid arthritis,SNOMED CT,193180002,Polyneuropathy in rheumatoid arthritis
rheumatoid arthritis,SNOMED CT,193250002,Myopathy due to rheumatoid arthritis
rheumatoid arthritis,SNOMED CT,195136004,Rheumatoid myocarditis
rheumatoid arthritis,SNOMED CT,195138003,Rheumatoid carditis
rheumatoid arthritis,SNOMED CT,196132006,Rheumatoid lung
rheumatoid arthritis,SNOMED CT,201764007,Rheumatoid arthritis of cervical spine
rheumatoid arthritis,SNOMED CT,201766009,Rheumatoid arthritis of shoulder
rheumatoid arthritis,SNOMED CT,201767000,Rheumatoid arthritis of sternoclavicular joint
rheumatoid arthritis,SNOMED CT,201768005,Rheumatoid arthritis of acromioclavicular joint
rheumatoid arthritis,SNOMED CT,201769002,Rheumatoid arthritis of elbow
rheumatoid arthritis,SNOMED CT,201770001,Rheumatoid arthritis of distal radioulnar joint
rheumatoid arthritis,SNOMED CT,201771002,Rheumatoid arthritis of wrist
rheumatoid arthritis,SNOMED CT,201772009,Rheumatoid arthritis of metacarpophalangeal joint
rheumatoid arthritis,SNOMED CT,201773004,Rheumatoid arthritis of proximal interphalangeal joint of finger
rheumatoid arthritis,SNOMED CT,201774005,Rheumatoid arthritis of distal interphalangeal joint of finger
rheumatoid arthritis,SNOMED CT,201775006,Rheumatoid arthritis of hip
rheumatoid arthritis,SNOMED CT,201776007,Rheumatoid arthritis of sacroiliac joint
rheumatoid arthritis,SNOMED CT,201777003,Rheumatoid arthritis of knee
rheumatoid arthritis,SNOMED CT,201778008,Rheumatoid arthritis of tibiofibular joint
rheumatoid arthritis,SNOMED CT,201779000,Rheumatoid arthritis of ankle
rheumatoid arthritis,SNOMED CT,201780002,Rheumatoid arthritis of subtalar joint
rheumatoid arthritis,SNOMED CT,201781003,Rheumatoid arthritis of talonavicular joint
rheumatoid arthritis,SNOMED CT,201782005,Rheumatoid arthritis of other tarsal joint
rheumatoid arthritis,SNOMED CT,201783000,Rheumatoid arthritis of first metatarsophalangeal joint
rheumatoid arthritis,SNOMED CT,201784006,Rheumatoid arthritis of lesser metatarsophalangeal joint
rheumatoid arthritis,SNOMED CT,201785007,Rheumatoid arthritis of interphalangeal joint of toe
