name,terminology,code,term
heart failure,ICD10,I110,Hypertensive heart disease with (congestive) heart failure
heart failure,ICD10,I130,Hypertensive heart and renal disease with (congestive) heart failure
heart failure,ICD10,I132,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure
heart failure,ICD10,I255,Ischaemic cardiomyopathy
heart failure,ICD10,I420,Dilated cardiomyopathy
heart failure,ICD10,I429,"Cardiomyopathy, unspecified"
heart failure,ICD10,I500,Congestive heart failure
heart failure,ICD10,I501,Left ventricular failure
heart failure,ICD10,I509,"Heart failure, unspecified"
heart failure,SNOMED CT,364006,Acute left-sided heart failure (disorder)
heart failure,SNOMED CT,5053004,Cardiac***REMOVED***insufficiency***REMOVED***due***REMOVED***to***REMOVED***prosthesis***REMOVED***(disorder)
heart failure,SNOMED CT,5148006,Hypertensive heart disease with congestive heart failure (disorder)
heart failure,SNOMED CT,5375005,Chronic left-sided congestive heart failure (disorder)
heart failure,SNOMED CT,10091002,High output heart failure (disorder)
heart failure,SNOMED CT,10335000,Chronic right-sided heart failure (disorder)
heart failure,SNOMED CT,10633002,Acute congestive heart failure (disorder)
heart failure,SNOMED CT,13839000,Bernheim\'s syndrome (disorder)
heart failure,SNOMED CT,16253001,Dilated***REMOVED***peripartum***REMOVED***cardiomyopathy***REMOVED***(disorder)
heart failure,SNOMED CT,16253001,Dilated***REMOVED***peripartum***REMOVED***cardiomyopathy***REMOVED***(disorder)
heart failure,SNOMED CT,20529002,Secondary dilated cardiomyopathy (disorder)
heart failure,SNOMED CT,24841007,Cardiorespiratory***REMOVED***failure***REMOVED***during***REMOVED***AND/OR***REMOVED***resulting***REMOVED***from***REMOVED***a***REMOVED***procedure***REMOVED***(disorder)
heart failure,SNOMED CT,25544003,Low output heart failure (disorder)
heart failure,SNOMED CT,33644002,Postvalvulotomy***REMOVED***syndrome***REMOVED***(disorder)
heart failure,SNOMED CT,35728003,Familial cardiomyopathy (disorder)
heart failure,SNOMED CT,36315003,Malignant***REMOVED***hypertensive***REMOVED***heart***REMOVED***disease***REMOVED***without***REMOVED***congestive***REMOVED***heart***REMOVED***failure***REMOVED***(disorder)
heart failure,SNOMED CT,42343007,Congestive heart failure (disorder)
heart failure,SNOMED CT,43736008,Rheumatic left ventricular failure (disorder)
heart failure,SNOMED CT,44088000,Low cardiac output syndrome (disorder)
heart failure,SNOMED CT,44313006,Right heart failure secondary to left heart failure (disorder)
heart failure,SNOMED CT,45227007,Hypertrophic obstructive cardiomyopathy (disorder)
heart failure,SNOMED CT,45650007,Kyphoscoliotic***REMOVED***heart***REMOVED***disease***REMOVED***(disorder)
heart failure,SNOMED CT,45650007,Kyphoscoliotic***REMOVED***heart***REMOVED***disease***REMOVED***(disorder)
heart failure,SNOMED CT,46113002,Hypertensive heart failure (disorder)
heart failure,SNOMED CT,48447003,Chronic heart failure (disorder)
heart failure,SNOMED CT,49584005,Acute cor pulmonale (disorder)
heart failure,SNOMED CT,55565007,Cardiac failure after obstetrical surgery AND/OR other procedure including delivery (disorder)
heart failure,SNOMED CT,56675007,Acute heart failure (disorder)
heart failure,SNOMED CT,60856006,Cardiac***REMOVED***insufficiency***REMOVED***following***REMOVED***cardiac***REMOVED***surgery***REMOVED***(disorder)
heart failure,SNOMED CT,60899001,Hypertensive***REMOVED***heart***REMOVED***disease***REMOVED***without***REMOVED***congestive***REMOVED***heart***REMOVED***failure***REMOVED***(disorder)
heart failure,SNOMED CT,62377009,Postpartum***REMOVED***cardiomyopathy***REMOVED***(disorder)
heart failure,SNOMED CT,62377009,Postpartum***REMOVED***cardiomyopathy***REMOVED***(disorder)
heart failure,SNOMED CT,64715009,Hypertensive heart disease (disorder)
heart failure,SNOMED CT,66989003,Chronic right-sided congestive heart failure (disorder)
heart failure,SNOMED CT,71892000,Cardiac asthma (disorder)
heart failure,SNOMED CT,74960003,Acute***REMOVED***left-sided***REMOVED***congestive***REMOVED***heart***REMOVED***failure***REMOVED***(disorder)
heart failure,SNOMED CT,74960003,Acute***REMOVED***left-sided***REMOVED***congestive***REMOVED***heart***REMOVED***failure***REMOVED***(disorder)
heart failure,SNOMED CT,77970009,Benign***REMOVED***hypertensive***REMOVED***heart***REMOVED***disease***REMOVED***without***REMOVED***congestive***REMOVED***heart***REMOVED***failure***REMOVED***(disorder)
heart failure,SNOMED CT,78862003,Ayerza\'s***REMOVED***syndrome***REMOVED***(disorder)
heart failure,SNOMED CT,78862003,Ayerza\'s***REMOVED***syndrome***REMOVED***(disorder)
heart failure,SNOMED CT,79955004,Chronic cor pulmonale (disorder)
heart failure,SNOMED CT,80479009,Acute right-sided congestive heart failure (disorder)
heart failure,SNOMED CT,82523003,Congestive rheumatic heart failure (disorder)
heart failure,SNOMED CT,83105008,Malignant hypertensive heart disease with congestive heart failure (disorder)
heart failure,SNOMED CT,83291003,Cor***REMOVED***pulmonale***REMOVED***(disorder)
heart failure,SNOMED CT,83291003,Cor***REMOVED***pulmonale***REMOVED***(disorder)
heart failure,SNOMED CT,83521008,Dilated cardiomyopathy caused by alcohol (disorder)
heart failure,SNOMED CT,84114007,Heart failure (disorder)
heart failure,SNOMED CT,85232009,Left heart failure (disorder)
heart failure,SNOMED CT,85898001,Cardiomyopathy (disorder)
heart failure,SNOMED CT,87837008,Chronic pulmonary heart disease (disorder)
heart failure,SNOMED CT,88805009,Chronic congestive heart failure (disorder)
heart failure,SNOMED CT,89555002,Cardiac edema (disorder)
heart failure,SNOMED CT,89819002,Cardiac***REMOVED***insufficiency***REMOVED***during***REMOVED***AND/OR***REMOVED***resulting***REMOVED***from***REMOVED***a***REMOVED***procedure***REMOVED***(disorder)
heart failure,SNOMED CT,90727007,Pleural effusion due to congestive heart failure (disorder)
heart failure,SNOMED CT,92506005,Biventricular congestive heart failure (disorder)
heart failure,SNOMED CT,111283005,Chronic left-sided heart failure (disorder)
heart failure,SNOMED CT,128404006,Right heart failure (disorder)
heart failure,SNOMED CT,134378009,Congestive heart failure monitoring (regime/therapy)
heart failure,SNOMED CT,134401001,Left ventricular systolic dysfunction (disorder)
heart failure,SNOMED CT,134440006,Referral***REMOVED***to***REMOVED***heart***REMOVED***failure***REMOVED***clinic***REMOVED***(procedure)
heart failure,SNOMED CT,161505003,History of heart failure (situation)
heart failure,SNOMED CT,194767001,Benign hypertensive heart disease with congestive cardiac failure (disorder)
heart failure,SNOMED CT,194779001,Hypertensive heart and renal disease with (congestive) heart failure (disorder)
heart failure,SNOMED CT,194781004,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure (disorder)
heart failure,SNOMED CT,194849004,Generalized ischemic myocardial dysfunction (disorder)
heart failure,SNOMED CT,195020003,Hypertrophic cardiomyopathy without obstruction (disorder)
heart failure,SNOMED CT,195021004,Primary dilated cardiomyopathy (disorder)
heart failure,SNOMED CT,195031006,Cardiomyopathy in myotonic dystrophy (disorder)
heart failure,SNOMED CT,195108009,Heart failure: [right] or [congestive] (disorder)
heart failure,SNOMED CT,195111005,Decompensated cardiac failure (disorder)
heart failure,SNOMED CT,195112003,Compensated cardiac failure (disorder)
heart failure,SNOMED CT,195114002,Acute left ventricular failure (disorder)
heart failure,SNOMED CT,206586007,Congenital cardiac failure (disorder)
heart failure,SNOMED CT,233871002,Congestive obstructive cardiomyopathy (disorder)
heart failure,SNOMED CT,233873004,Hypertrophic cardiomyopathy (disorder)
heart failure,SNOMED CT,233924009,Heart failure as a complication of care (disorder)
heart failure,SNOMED CT,236003008,Cardiac ascites (disorder)
heart failure,SNOMED CT,275514001,Impaired left ventricular function (finding)
heart failure,SNOMED CT,276514007,Neonatal***REMOVED***cardiac***REMOVED***failure***REMOVED***(disorder)
heart failure,SNOMED CT,277638005,Sepsis-associated left ventricular failure (disorder)
heart failure,SNOMED CT,277639002,Sepsis-associated right ventricular failure (disorder)
heart failure,SNOMED CT,281170005,Arrhythmogenic right ventricular cardiomyopathy (disorder)
heart failure,SNOMED CT,308118002,Cardiac failure therapy (procedure)
heart failure,SNOMED CT,309634009,History of heart failure in last year (situation)
heart failure,SNOMED CT,313389004,No cardiac failure (situation)
heart failure,SNOMED CT,314206003,Refractory heart failure (disorder)
heart failure,SNOMED CT,359617009,Acute right-sided heart failure (disorder)
heart failure,SNOMED CT,359620001,Acute right heart failure (disorder)
heart failure,SNOMED CT,360371003,Acute cardiac pulmonary edema (disorder)
heart failure,SNOMED CT,367363000,Right ventricular failure (disorder)
heart failure,SNOMED CT,390868005,Heart failure screen (procedure)
heart failure,SNOMED CT,390884006,Heart failure follow-up (finding)
heart failure,SNOMED CT,390885007,Heart failure annual review (regime/therapy)
heart failure,SNOMED CT,394887005,Suspected heart failure (situation)
heart failure,SNOMED CT,394927007,Heart failure excluded (situation)
heart failure,SNOMED CT,395105005,Heart failure confirmed (situation)
heart failure,SNOMED CT,395172009,No evidence of left ventricular systolic dysfunction (situation)
heart failure,SNOMED CT,395704004,Left ventricular diastolic dysfunction (disorder)
heart failure,SNOMED CT,399020009,Congestive cardiomyopathy (disorder)
heart failure,SNOMED CT,403298007,Red***REMOVED***half-moon***REMOVED***nail***REMOVED***in***REMOVED***congestive***REMOVED***heart***REMOVED***failure***REMOVED***(disorder)
heart failure,SNOMED CT,407596008,Echocardiogram shows left ventricular systolic dysfunction (finding)
heart failure,SNOMED CT,407597004,Echocardiogram shows left ventricular diastolic dysfunction (finding)
heart failure,SNOMED CT,410431009,Cardiorespiratory***REMOVED***failure***REMOVED***(disorder)
heart failure,SNOMED CT,413164001,No evidence of left ventricular diastolic dysfunction (situation)
heart failure,SNOMED CT,414586001,Left ventricular dysfunction monitoring first letter (procedure)
heart failure,SNOMED CT,414588000,Left ventricular dysfunction monitoring second letter (procedure)
heart failure,SNOMED CT,414589008,Left ventricular dysfunction monitoring third letter (procedure)
heart failure,SNOMED CT,416573008,Left ventricular dysfunction monitoring verbal invite (finding)
heart failure,SNOMED CT,416683003,Emergency hospital admission for heart failure (procedure)
heart failure,SNOMED CT,416717003,Seen***REMOVED***in***REMOVED***heart***REMOVED***failure***REMOVED***clinic***REMOVED***(finding)
heart failure,SNOMED CT,417146007,Referral***REMOVED***to***REMOVED***heart***REMOVED***failure***REMOVED***nurse***REMOVED***(procedure)
heart failure,SNOMED CT,417359009,Seen by community heart failure nurse (finding)
heart failure,SNOMED CT,417996009,Systolic heart failure (disorder)
heart failure,SNOMED CT,418304008,Diastolic heart failure (disorder)
heart failure,SNOMED CT,420300004,New York Heart Association Classification - Class I (finding)
heart failure,SNOMED CT,420816009,New York Heart Association Classification (assessment scale)
heart failure,SNOMED CT,420913000,New York Heart Association Classification - Class III (finding)
heart failure,SNOMED CT,421704003,New York Heart Association Classification - Class II (finding)
heart failure,SNOMED CT,422293003,New York Heart Association Classification - Class IV (finding)
heart failure,SNOMED CT,423475008,Heart failure education (procedure)
heart failure,SNOMED CT,424404003,Decompensated chronic heart failure (disorder)
heart failure,SNOMED CT,426012001,Right heart failure due to pulmonary hypertension (disorder)
heart failure,SNOMED CT,426263006,Congestive heart failure due to left ventricular systolic dysfunction (disorder)
heart failure,SNOMED CT,426611007,Congestive heart failure due to valvular disease (disorder)
heart failure,SNOMED CT,429589006,Left ventricular cardiac dysfunction (disorder)
heart failure,SNOMED CT,430396006,Chronic systolic dysfunction of left ventricle (disorder)
heart failure,SNOMED CT,438367009,"Congestive***REMOVED***heart***REMOVED***failure,***REMOVED***hypertension,***REMOVED***age***REMOVED***75***REMOVED***years***REMOVED***or***REMOVED***older,***REMOVED***diabetes, and***REMOVED***previous stroke***REMOVED***or transient ischemic***REMOVED***attack***REMOVED***risk***REMOVED***score***REMOVED***(assessment***REMOVED***scale)"
heart failure,SNOMED CT,440589006,Knowledge***REMOVED***level***REMOVED***about***REMOVED***heart***REMOVED***failure***REMOVED***management***REMOVED***(observable***REMOVED***entity)
heart failure,SNOMED CT,441481004,Chronic systolic heart failure (disorder)
heart failure,SNOMED CT,441530006,Chronic diastolic heart failure (disorder)
heart failure,SNOMED CT,443253003,Acute on chronic systolic heart failure (disorder)
heart failure,SNOMED CT,443254009,Acute systolic heart failure (disorder)
heart failure,SNOMED CT,443343001,Acute diastolic heart failure (disorder)
heart failure,SNOMED CT,443344007,Acute on chronic diastolic heart failure (disorder)
heart failure,SNOMED CT,445236007,Cardiorenal syndrome (disorder)
heart failure,SNOMED CT,446221000,Heart failure with normal ejection fraction (disorder)
heart failure,SNOMED CT,462172006,Fetal***REMOVED***heart***REMOVED***failure***REMOVED***(disorder)
heart failure,SNOMED CT,462172006,Fetal***REMOVED***heart***REMOVED***failure***REMOVED***(disorder)
heart failure,SNOMED CT,462174007,Fetal***REMOVED***heart***REMOVED***failure***REMOVED***with***REMOVED***myocardial***REMOVED***hypertrophy***REMOVED***(disorder)
heart failure,SNOMED CT,462174007,Fetal***REMOVED***heart***REMOVED***failure***REMOVED***with***REMOVED***myocardial***REMOVED***hypertrophy***REMOVED***(disorder)
heart failure,SNOMED CT,462175008,Fetal***REMOVED***heart***REMOVED***failure***REMOVED***with***REMOVED***redistribution***REMOVED***of***REMOVED***cardiac***REMOVED***output***REMOVED***(disorder)
heart failure,SNOMED CT,462175008,Fetal***REMOVED***heart***REMOVED***failure***REMOVED***with***REMOVED***redistribution***REMOVED***of***REMOVED***cardiac***REMOVED***output***REMOVED***(disorder)
heart failure,SNOMED CT,471880001,Heart failure due to end stage congenital heart disease (disorder)
heart failure,SNOMED CT,609507007,Induced termination of pregnancy complicated by cardiac failure (disorder)
heart failure,SNOMED CT,609555007,Diastolic***REMOVED***heart***REMOVED***failure***REMOVED***stage***REMOVED***A***REMOVED***(finding)
heart failure,SNOMED CT,609556008,Systolic***REMOVED***heart***REMOVED***failure***REMOVED***stage***REMOVED***A***REMOVED***(finding)
heart failure,SNOMED CT,697925001,Pulmonary hypertension due to systolic systemic ventricular dysfunction (disorder)
heart failure,SNOMED CT,697926000,Pulmonary hypertension due to diastolic systemic ventricular dysfunction (disorder)
heart failure,SNOMED CT,698296002,Acute***REMOVED***exacerbation***REMOVED***of***REMOVED***chronic***REMOVED***congestive***REMOVED***heart***REMOVED***failure***REMOVED***(disorder)
heart failure,SNOMED CT,698296002,Acute exacerbation of chronic congestive heart failure (disorder)
heart failure,SNOMED CT,698592004,Asymptomatic left ventricular systolic dysfunction (disorder)
heart failure,SNOMED CT,698594003,Symptomatic congestive heart failure (disorder)
heart failure,SNOMED CT,702843005,Congestive***REMOVED***heart***REMOVED***failure***REMOVED***clinic***REMOVED***(environment)
heart failure,SNOMED CT,703272007,Heart failure with reduced ejection fraction (disorder)
heart failure,SNOMED CT,703273002,Heart failure with reduced ejection fraction due to coronary artery disease (disorder)
heart failure,SNOMED CT,703274008,Heart failure with reduced ejection fraction due to myocarditis (disorder)
heart failure,SNOMED CT,703275009,Heart failure with reduced ejection fraction due to cardiomyopathy (disorder)
heart failure,SNOMED CT,703276005,Heart failure with reduced ejection fraction due to heart valve disease (disorder)
heart failure,SNOMED CT,704095000,Referral to heart failure exercise program (procedure)
heart failure,SNOMED CT,704096004,Referral to heart failure exercise program not indicated (situation)
heart failure,SNOMED CT,704097008,Referral to heart failure exercise program declined (situation)
heart failure,SNOMED CT,704242009,Fetal***REMOVED***heart***REMOVED***failure***REMOVED***due***REMOVED***to***REMOVED***extracardiac***REMOVED***disease***REMOVED***(disorder)
heart failure,SNOMED CT,704242009,Fetal***REMOVED***heart***REMOVED***failure***REMOVED***due***REMOVED***to***REMOVED***extracardiac***REMOVED***disease***REMOVED***(disorder)
heart failure,SNOMED CT,708018005,"Assessment***REMOVED***using***REMOVED***congestive***REMOVED***heart***REMOVED***failure,***REMOVED***hypertension,***REMOVED***age***REMOVED***2,***REMOVED***diabetes***REMOVED***mellitus,stroke***REMOVED***2***REMOVED***- vascular disease,***REMOVED***age,***REMOVED***sex***REMOVED***category***REMOVED***score***REMOVED***(procedure)"
heart failure,SNOMED CT,713678009,"Congestive***REMOVED***heart***REMOVED***failure,***REMOVED***hypertension,***REMOVED***age***REMOVED***75***REMOVED***years***REMOVED***or***REMOVED***older,***REMOVED***diabetes,***REMOVED***previous stroke***REMOVED***or***REMOVED***transient ischemic***REMOVED***attack,***REMOVED***vascular***REMOVED***disease,***REMOVED***age***REMOVED***65-74***REMOVED***years,***REMOVED***and***REMOVED***sex***REMOVED***category***REMOVED***risk***REMOVED***score***REMOVED***(assessment***REMOVED***scale)"
heart failure,SNOMED CT,715621003,Heart failure education not done (situation)
heart failure,SNOMED CT,718287008,Provision of written information about heart failure (procedure)
heart failure,SNOMED CT,722095005,Acute kidney injury due to circulatory failure (disorder)
