name,terminology,code,term,DiabetesType
diabetes_drugs,DMD,5199411000001105,Actos 45mg tablets (Takeda UK Ltd) (product),general
diabetes_drugs,DMD,14753811000001102,Prandin 0.5mg tablets (Sigma Pharmaceuticals Plc) (product),general
diabetes_drugs,DMD,16187411000001102,Glucophage SR 500mg tablets (Lexon (UK) Ltd) (product),general
diabetes_drugs,DMD,3270511000001100,Mixtard 30 NovoLet 100units/ml suspension for injection (Novo Nordisk Pharmaceuticals Ltd) (product),general
diabetes_drugs,DMD,19489511000001102,Acarbose 100mg tablets (Alliance Healthcare (Distribution) Ltd) (product),general
diabetes_drugs,DMD,3273411000001107,Human Mixtard 50 Penfill 100units/ml suspension for injection 1.5ml cartridges (Novo Nordisk Pharmaceuticals Ltd) (product),general
diabetes_drugs,DMD,22226111000001104,Gliclazide 60mg modified-release tablets (product),general
diabetes_drugs,DMD,11149211000001102,Glimepiride 1mg tablets (Teva UK Ltd) (product),general
diabetes_drugs,DMD,698511000001103,Glipizide 5mg tablets (Sandoz Ltd) (product),general
diabetes_drugs,DMD,36832811000001104,Pioglitazone 15mg / Metformin 850mg tablets (Torrent Pharma (UK) Ltd) (product),general
diabetes_drugs,DMD,29853611000001101,Canagliflozin 100mg tablets (Niche Pharma Ltd) (product),general
diabetes_drugs,DMD,3269711000001107,Mixtard 10 NovoLet 100units/ml suspension for injection (Novo Nordisk Pharmaceuticals Ltd) (product),general
diabetes_drugs,DMD,61911000001108,Glimil 80mg tablets (Milpharm Ltd) (product),general
diabetes,SNOMED,49455004,Diabetic polyneuropathy,general
diabetes,SNOMED,408540003,Diabetes mellitus caused by non-steroid drugs (disorder),general
diabetes_drugs,DMD,10539711000001108,Glimepiride 3mg tablets (PI) (Waymade Ltd) (product),general
diabetes_drugs,DMD,11135611000001102,Mixtard 10 Penfill 100units/ml suspension for injection 3ml cartridges (Waymade Ltd) (product),general
diabetes_drugs,DMD,13100611000001109,Avandamet 4mg/1000mg tablets (Dowelhurst Ltd) (product),general
diabetes_drugs,DMD,22028211000001104,Glimepiride 4mg tablets (Waymade Healthcare Plc) (product),general
diabetes_drugs,DMD,4033111000001109,Insulin isophane biphasic porcine 30/70 100units/ml suspension for injection 3ml cartridges (product),general
diabetes_drugs,DMD,15374311000001101,Glucophage 1000mg oral powder sachets (Merck Serono Ltd) (product),general
diabetes_drugs,DMD,12200311000001108,Repaglinide 1mg tablets (PI) (Waymade Healthcare Plc) (product),general
diabetes_drugs,DMD,16520011000001106,Humulin I 100units/ml suspension for injection 3ml cartridges (Mawdsley-Brooks & Company Ltd) (product),general
diabetes_drugs,DMD,36763511000001102,Byetta 10micrograms/0.04ml solution for injection 2.4ml pre-filled pens (Originalis B.V.) (product),general
diabetes_drugs,DMD,14401211000001103,Starlix 180mg tablets (Sigma Pharmaceuticals Plc) (product),general
diabetes_drugs,DMD,5268911000001109,Humalog Mix25 100units/ml suspension for injection 3ml cartridges (PI) (Waymade Ltd) (product),general
diabetes_drugs,DMD,860011000001104,Gliclazide 80mg tablets (IVAX Pharmaceuticals UK Ltd) (product),general
diabetes,SNOMED,312905005,Severe non proliferative diabetic retinopathy,general
diabetes,SNOMED,791000119109,Angina associated with type II diabetes mellitus,type2
diabetes,SNOMED,33559001,Pineal hyperplasia AND diabetes mellitus syndrome (disorder),general
diabetes,SNOMED,773001000000103,Symptomatic diabetic peripheral neuropathy (disorder),general
diabetes_drugs,DMD,10898411000001103,Apidra 100units/ml solution for injection 3ml OptiClik cartridges (sanofi-aventis) (product),general
diabetes_drugs,DMD,12135811000001104,Glibenclamide 625micrograms/5ml oral suspension (product),general
diabetes_drugs,DMD,34188011000001100,Metformin 850mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd) (product),general
diabetes_drugs,DMD,36856611000001103,Pioglitazone 15mg tablets (Torrent Pharma (UK) Ltd) (product),general
diabetes_drugs,DMD,11133811000001102,Insulatard InnoLet 100units/ml suspension for injection 3ml pre-filled pens (Waymade Healthcare Plc) (product),general
diabetes,SNOMED,761000119102,Diabetic dyslipidemia associated with type 2 diabetes mellitus,type2
diabetes_drugs,DMD,26655811000001102,Insulin aspart 100units/ml solution for injection 1.6ml cartridges (product),general
diabetes_drugs,DMD,16256311000001100,Actos 30mg tablets (Mawdsley-Brooks & Company Ltd) (product),general
diabetes_drugs,DMD,22026311000001108,Glibenclamide 5mg tablets (Waymade Healthcare Plc) (product),general
diabetes_drugs,DMD,19613511000001104,Humalog Mix50 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (DE Pharmaceuticals) (product),general
diabetes_drugs,DMD,28789611000001108,Dulaglutide 0.75mg/0.5ml solution for injection pre-filled disposable devices (product),general
diabetes_drugs,DMD,37440411000001105,Januvia 25mg tablets (CST Pharma Ltd) (product),general
diabetes,SNOMED,314010006,Diffuse diabetic maculopathy,general
diabetes,SNOMED,390853009,O/E - no left diabetic retinopathy (context-dependent category),general
diabetes,SNOMED,237619009,Diabetes-deafness syndrome maternally transmitted (disorder),general
diabetes_drugs,DMD,3284311000001105,Humalog 100units/ml solution for injection 3ml cartridges (Eli Lilly & Co Ltd) (product),general
diabetes_drugs,DMD,28044911000001109,Insulin human 500units/ml solution for injection 20ml vials (Special Order) (product),general
diabetes_drugs,DMD,3274011000001101,Hypurin Bovine Neutral 100units/ml solution for injection 1.5ml cartridges (C P Pharmaceuticals Ltd) (product),general
diabetes,SNOMED,426875007,Latent autoimmune diabetes mellitus in adult (disorder),other
diabetes,SNOMED,190412005,Malnutrition-related diabetes mellitus without complications (disorder),other
diabetes_drugs,DMD,34043011000001106,Fiasp FlexTouch 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd) (product),general
diabetes_drugs,DMD,8664611000001104,Metformin 850mg/5ml oral solution (product),general
diabetes_drugs,DMD,32492811000001102,Pioglitazone 15mg tablets (Brown & Burk UK Ltd) (product),general
diabetes_drugs,DMD,325070005,Insulin lispro 100units/mL injection solution 3mL prefilled pen (product),general
diabetes_drugs,DMD,31351711000001102,Alogliptin 12.5mg / Metformin 1g tablets (J M McGill Ltd) (product),general
diabetes_drugs,DMD,32182511000001103,Alogliptin 12.5mg tablets (Niche Pharma Ltd) (product),general
diabetes_drugs,DMD,37973011000001109,NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pens (Pharmaram Ltd) (product),general
diabetes,SNOMED,44054006,Diabetes mellitus type II,type2
diabetes,SNOMED,134395001,Diabetic retinopathy screening,general
diabetes,SNOMED,190368000,Type I diabetes mellitus with ulcer,type1
diabetes,SNOMED,762489000,Acute complication with diabetes mellitus,general
diabetes,SNOMED,190407009,Malnutrition-related diabetes mellitus with renal complications (disorder),other
diabetes,SNOMED,1110921000000100,Quality and Outcomes Framework diabetes mellitus quality indicator-related care invitation (procedure),removed
diabetes_drugs,DMD,446711000001101,Actos 30mg tablets (Takeda UK Ltd) (product),general
diabetes_drugs,DMD,30100711000001104,Tolbutamide 500mg tablets (DE Pharmaceuticals) (product),general
diabetes_drugs,DMD,37428011000001101,Actos 15mg tablets (CST Pharma Ltd) (product),general
diabetes_drugs,DMD,16125711000001106,Glimepiride 2mg/5ml oral suspension (Special Order) (product),general
diabetes_drugs,DMD,16137811000001105,Amaryl 4mg tablets (Lexon (UK) Ltd) (product),general
diabetes_drugs,DMD,38530511000001107,Metformin 500mg modified-release tablets (Morningside Healthcare Ltd) (product),general
diabetes,SNOMED,420918009,Mononeuropathy associated with type I diabetes mellitus (disorder),type1
diabetes,SNOMED,279321000000104,Diabetes type 2 review (regime/therapy),type2
diabetes,SNOMED,112991000000101,Lipoatrophic diabetes mellitus without complication (disorder),general
diabetes_drugs,DMD,781411000001104,Glucobay 50 tablets (Bayer Plc) (product),general
diabetes_drugs,DMD,593911000001106,Metformin 500mg tablets (Sandoz Ltd) (product),general
diabetes_drugs,DMD,38238111000001109,Sukkarto SR 750mg tablets (Morningside Healthcare Ltd) (product),general
diabetes_drugs,DMD,12798011000001101,Metformin 1g/5ml oral solution (product),general
diabetes_drugs,DMD,13720911000001100,Glimepiride 3mg tablets (Ranbaxy (UK) Ltd) (product),general
diabetes_drugs,DMD,20916911000001104,Pioglitazone 15mg tablets (Zentiva) (product),general
diabetes_drugs,DMD,13180011000001101,NovoMix 30 FlexPen 100units/ml suspension for injection 3ml pre-filled pens (Dowelhurst Ltd) (product),general
diabetes_drugs,DMD,14584711000001101,Metformin 500mg modified-release tablets (A A H Pharmaceuticals Ltd) (product),general
diabetes_drugs,DMD,23487411000001107,Pioglitazone 15mg tablets (Accord Healthcare Ltd) (product),general
diabetes,SNOMED,707221002,Diabetic glomerulosclerosis,general
diabetes_drugs,DMD,325242002,Product containing precisely gliclazide 80 milligram/1 each conventional release oral tablet (clinical drug),general
diabetes_drugs,DMD,17608511000001103,Humulin I KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd) (product),general
diabetes_drugs,DMD,13412911000001100,Vildagliptin 50mg tablets (product),general
diabetes_drugs,DMD,21245011000001106,Linagliptin 2.5mg / Metformin 1g tablets (product),general
diabetes_drugs,DMD,36047811000001104,Insulin lispro 100units/ml solution for injection 3ml pre-filled disposable devices (product),general
diabetes_drugs,DMD,4029411000001100,Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 3ml cartridges (C P Pharmaceuticals Ltd) (product),general
diabetes_drugs,DMD,11343511000001106,Glimepiride 3mg tablets (Sandoz Ltd) (product),general
