,type,category,bnf_code,raw_name,standardised_name,product_name
0,BNF,GLP1RA,0601023ASAAAAAA,Albiglutide 30mg inj pre-filled disposable devices,Albiglutide,Missing
1,BNF,GLP1RA,0601023ASBBAAAA,Eperzan 30mg inj pre-filled pens,Albiglutide,Missing
2,BNF,GLP1RA,0601023ASAAABAB,Albiglutide 50mg inj pre-filled disposable devices,Albiglutide,Missing
3,BNF,GLP1RA,0601023ASBBABAB,Eperzan 50mg inj pre-filled pens,Albiglutide,Missing
4,BNF,GLP1RA,0601023AQAAAAAA,Dulaglutide 0.75mg/0.5ml inj pre-filled disposable devices,Dulaglutide,Missing
5,BNF,GLP1RA,0601023AQBBAAAA,Trulicity 0.75mg/0.5ml inj pre-filled pens,Dulaglutide,Missing
6,BNF,GLP1RA,0601023AQAAABAB,Dulaglutide 1.5mg/0.5ml inj pre-filled disposable devices,Dulaglutide,Missing
7,BNF,GLP1RA,0601023AQBBABAB,Trulicity 1.5mg/0.5ml solution for injection pre-filled pens,Dulaglutide,Missing
8,BNF,GLP1RA,0601023AQAAADAD,Dulaglutide 4.5mg/0.5ml inj pre-filled disposable devices,Dulaglutide,Missing
9,BNF,GLP1RA,0601023AQBBADAD,Trulicity 4.5mg/0.5ml solution for injection pre-filled pens,Dulaglutide,Missing
10,BNF,GLP1RA,0601023AQAAACAC,Dulaglutide 3mg/0.5ml inj pre-filled disposable devices,Dulaglutide,Missing
11,BNF,GLP1RA,0601023AQBBACAC,Trulicity 3mg/0.5ml solution for injection pre-filled pens,Dulaglutide,Missing
12,BNF,GLP1RA,0601023Y0AAABAB,Exenatide 10micrograms/0.04ml inj 2.4ml pf dispos dev,Exenatide,Missing
13,BNF,GLP1RA,0601023Y0BBABAB,Byetta 10micrograms/0.04ml inj 2.4ml pre-filled pens,Exenatide,Missing
14,BNF,GLP1RA,0601023Y0AAAAAA,Exenatide 5micrograms/0.02ml inj 1.2ml pf dispos dev,Exenatide,Missing
15,BNF,GLP1RA,0601023Y0BBAAAA,Byetta 5micrograms/0.02ml inj 1.2ml pre-filled pens,Exenatide,Missing
16,BNF,GLP1RA,0601023Y0AAACAC,Exenatide 2mg inj vials,Exenatide,Missing
17,BNF,GLP1RA,0601023Y0BCAAAC,Bydureon 2mg inj vials,Exenatide,Missing
18,BNF,GLP1RA,0601023Y0AAADAD,Exenatide 2mg inj pre-filled disposable devices,Exenatide,Missing
19,BNF,GLP1RA,0601023Y0BCABAD,Bydureon 2mg inj pre-filled pens,Exenatide,Missing
20,BNF,GLP1RA,0601023Y0AAAEAE,Exenatide 2mg/0.85ml prolonged-release inj pf dispos dev,Exenatide,Missing
21,BNF,GLP1RA,0601023Y0BCACAE,Bydureon BCise 2mg/0.85ml prolonged-release inj pf pens,Exenatide,Missing
22,BNF,GLP1RA,0601023AUAAAAAA,Insulin degludec 100u/ml/Lirag 3.6mg/ml inj3ml pf dispos dev,Liraglutide,Missing
23,BNF,GLP1RA,0601023AUBBAAAA,Xultophy 100units/ml / 3.6mg/ml inj 3ml pre-filled pens,Liraglutide,Missing
24,BNF,GLP1RA,0601023ABAAAAAA,Liraglutide 6mg/1ml inj 3ml pre-filled disposable devices,Liraglutide,Missing
25,BNF,GLP1RA,0601023ABBBAAAA,Victoza 6mg/ml solution for injection 3ml pre-filled pens,Liraglutide,Missing
26,BNF,GLP1RA,0601023ABBCAAAA,Saxenda 6mg/ml solution for injection 3ml pre-filled pens,Liraglutide,Missing
27,BNF,GLP1RA,0601012ABAAABAB,Ins glargine 100u/ml / Lixis 50mcg/ml inj 3ml pf dispos dev,Lixisenatide,Missing
28,BNF,GLP1RA,0601012ABBBABAB,Suliqua 100units/ml / 50microg/ml inj 3ml pf SoloStar pens,Lixisenatide,Missing
29,BNF,GLP1RA,0601012ABAAAAAA,Ins glargine 100u/ml / Lixis 33mcg/ml inj 3ml pf dispos dev,Lixisenatide,Missing
