LAD23CD,mean_gdp_per_capita,mean_gdp_per_capita_usd,gdp_per_capita_usd_grp,MSOA11CD,gdp_grp
E06000001,18661.8,23814.32298,"<25,000",E02002488,Less_Than_25
E06000001,18661.8,23814.32298,"<25,000",E02002487,Less_Than_25
E06000001,18661.8,23814.32298,"<25,000",E02002490,Less_Than_25
E06000001,18661.8,23814.32298,"<25,000",E02002483,Less_Than_25
E06000001,18661.8,23814.32298,"<25,000",E02002485,Less_Than_25
E06000001,18661.8,23814.32298,"<25,000",E02002489,Less_Than_25
E06000001,18661.8,23814.32298,"<25,000",E02006909,Less_Than_25
E06000001,18661.8,23814.32298,"<25,000",E02002492,Less_Than_25
E06000001,18661.8,23814.32298,"<25,000",E02002484,Less_Than_25
E06000001,18661.8,23814.32298,"<25,000",E02002493,Less_Than_25
E06000001,18661.8,23814.32298,"<25,000",E02002491,Less_Than_25
E06000001,18661.8,23814.32298,"<25,000",E02002494,Less_Than_25
E06000004,31210,39827.081,"25-50,000",E02002549,25_To_50
E06000004,31210,39827.081,"25-50,000",E02002547,25_To_50
E06000004,31210,39827.081,"25-50,000",E02002540,25_To_50
E06000004,31210,39827.081,"25-50,000",E02002543,25_To_50
E06000004,31210,39827.081,"25-50,000",E02002555,25_To_50
E06000004,31210,39827.081,"25-50,000",E02002556,25_To_50
E06000004,31210,39827.081,"25-50,000",E02002535,25_To_50
E06000004,31210,39827.081,"25-50,000",E02002545,25_To_50
E06000004,31210,39827.081,"25-50,000",E02002546,25_To_50
E06000004,31210,39827.081,"25-50,000",E02002536,25_To_50
E06000004,31210,39827.081,"25-50,000",E02002544,25_To_50
E06000004,31210,39827.081,"25-50,000",E02002538,25_To_50
E06000004,31210,39827.081,"25-50,000",E02002551,25_To_50
E06000004,31210,39827.081,"25-50,000",E02002554,25_To_50
E06000004,31210,39827.081,"25-50,000",E02002552,25_To_50
E06000004,31210,39827.081,"25-50,000",E02002537,25_To_50
E06000004,31210,39827.081,"25-50,000",E02002548,25_To_50
E06000004,31210,39827.081,"25-50,000",E02002557,25_To_50
E06000004,31210,39827.081,"25-50,000",E02002541,25_To_50
E06000004,31210,39827.081,"25-50,000",E02002550,25_To_50
E06000004,31210,39827.081,"25-50,000",E02002542,25_To_50
E06000004,31210,39827.081,"25-50,000",E02002553,25_To_50
E06000004,31210,39827.081,"25-50,000",E02002558,25_To_50
E06000004,31210,39827.081,"25-50,000",E02002539,25_To_50
E06000002,25350.2,32349.39022,"25-50,000",E02002503,25_To_50
E06000002,25350.2,32349.39022,"25-50,000",E02002504,25_To_50
E06000002,25350.2,32349.39022,"25-50,000",E02002514,25_To_50
E06000002,25350.2,32349.39022,"25-50,000",E02006811,25_To_50
E06000002,25350.2,32349.39022,"25-50,000",E02002502,25_To_50
