,code,term
0,126906006,Neoplasm of prostate
1,81232004,Radical cystoprostatectomy
2,176106009,Radical cystoprostatourethrectomy
3,176261008,Radical prostatectomy without pelvic node excision
4,176262001,Radical prostatectomy with pelvic node sampling
5,176263006,Radical prostatectomy with pelvic lymphadenectomy
6,369775001,Gleason Score 2-4: Well differentiated
7,369777009,Gleason Score 8-10: Poorly differentiated
8,385377005,Gleason grade finding for prostatic cancer (finding)
9,394932008,Gleason prostate grade 5-7 (medium) (finding)
10,399068003,Malignant tumor of prostate (disorder)
11,428262008,History of malignant neoplasm of prostate (situation)
