,code,term,smoking_status,severity
0,160603005,Light cigarette smoker (1-9 cigs/day) (finding),Current-smoker,Light
1,160606002,Very heavy cigarette smoker (40+ cigs/day) (finding),Current-smoker,Heavy
2,160613002,Admitted tobacco consumption possibly untrue (finding),Current-smoker,Unknown
3,160619003,Rolls own cigarettes (finding),Current-smoker,Unknown
4,230056004,Cigarette consumption (observable entity),Current-smoker,Unknown
5,230057008,Cigar consumption (observable entity),Current-smoker,Unknown
6,230058003,Pipe tobacco consumption (observable entity),Current-smoker,Unknown
7,230060001,Light cigarette smoker (finding),Current-smoker,Light
8,230062009,Moderate cigarette smoker (finding),Current-smoker,Moderate
9,230065006,Chain smoker (finding),Current-smoker,Heavy
10,266918002,Tobacco smoking consumption (observable entity),Current-smoker,Unknown
11,446172000,Failed attempt to stop smoking (finding),Current-smoker,Unknown
12,449868002,Smokes tobacco daily (finding),Current-smoker,Unknown
13,56578002,Moderate smoker (20 or less per day) (finding),Current-smoker,Moderate
14,56771006,Heavy smoker (over 20 per day) (finding),Current-smoker,Heavy
15,59978006,Cigar smoker (finding),Current-smoker,Unknown
16,65568007,Cigarette smoker (finding),Current-smoker,Unknown
17,134406006,Smoking reduced (finding),Current-smoker,Unknown
18,160604004,Moderate cigarette smoker (10-19 cigs/day) (finding),Current-smoker,Moderate
19,160605003,Heavy cigarette smoker (20-39 cigs/day) (finding),Current-smoker,Heavy
20,160612007,Keeps trying to stop smoking (finding),Current-smoker,Unknown
21,160616005,Trying to give up smoking (finding),Current-smoker,Unknown
22,203191000000107,Wants to stop smoking (finding),Current-smoker,Unknown
23,225934006,Smokes in bed (finding),Current-smoker,Unknown
24,230059006,Occasional cigarette smoker (finding),Current-smoker,Light
25,230063004,Heavy cigarette smoker (finding),Current-smoker,Heavy
26,230064005,Very heavy cigarette smoker (finding),Current-smoker,Heavy
27,266920004,Trivial cigarette smoker (less than one cigarette/day) (finding),Current-smoker,Light
28,266929003,Smoking started (finding),Current-smoker,Unknown
29,308438006,Smoking restarted (finding),Current-smoker,Unknown
30,394871007,Thinking about stopping smoking (finding),Current-smoker,Unknown
31,394872000,Ready to stop smoking (finding),Current-smoker,Unknown
32,394873005,Not interested in stopping smoking (finding),Current-smoker,Unknown
33,401159003,Reason for restarting smoking (observable entity),Current-smoker,Unknown
34,413173009,Minutes from waking to first tobacco consumption (observable entity),Current-smoker,Unknown
35,428041000124106,Occasional tobacco smoker (finding),Current-smoker,Light
36,77176002,Smoker (finding),Current-smoker,Unknown
37,82302008,Pipe smoker (finding),Current-smoker,Unknown
38,836001000000109,Waterpipe tobacco consumption (observable entity),Current-smoker,Unknown
39,160603005,Light cigarette smoker (1-9 cigs/day) (finding),Current-smoker,Light
